AuditID,created_at,activity_month,activity_year,entity,action,actor,CompanyID,CompanyName
1,2024-01-15 00:00:00.000,January,2024,Lease,CREATE,john.smith@apexproperty.com,1,Apex Property Group
2,2024-01-16 00:00:00.000,January,2024,Tenant,UPDATE,john.smith@apexproperty.com,1,Apex Property Group
3,2024-02-01 00:00:00.000,February,2024,Payment,CREATE,mike.brown@urbanliving.com,2,Urban Living Management
4,2024-02-02 00:00:00.000,February,2024,MaintenanceRequest,UPDATE,mike.brown@urbanliving.com,2,Urban Living Management
5,2024-01-05 00:00:00.000,January,2024,Unit,CREATE,robert.wilson@sunrise.com,3,Sunrise Realty Solutions
6,2024-03-01 00:00:00.000,March,2024,Invoice,CREATE,james.anderson@metro.com,4,Metro Housing Corp
7,2024-01-08 00:00:00.000,January,2024,Vendor,UPDATE,jennifer.thomas@greenvalley.com,5,Green Valley Properties
8,2023-07-01 00:00:00.000,July,2023,Property,CREATE,admin@coastal.com,6,Coastal Management LLC
9,2023-01-15 00:00:00.000,January,2023,User,CREATE,admin@mountainview.com,7,Mountain View Estates
10,2023-09-01 00:00:00.000,September,2023,Role,UPDATE,admin@citycenter.com,8,City Center Properties
11,2024-04-01 00:00:00.000,April,2024,Invoice,AUTO_GENERATE,system,1,Apex Property Group
12,2024-04-05 00:00:00.000,April,2024,Payment,RECONCILE,accountant@urbanliving.com,2,Urban Living Management
13,2024-04-18 00:00:00.000,April,2024,MaintenanceRequest,CREATE,manager@sunrise.com,3,Sunrise Realty Solutions
14,2024-03-30 00:00:00.000,March,2024,Lease,RENEW,admin@metro.com,4,Metro Housing Corp
15,2024-04-10 00:00:00.000,April,2024,Message,SEND,support@greenvalley.com,5,Green Valley Properties
16,2024-01-15 00:00:00.000,January,2024,Lease,CREATE,john.smith@apexproperty.com,1,Apex Property Group
17,2024-01-16 00:00:00.000,January,2024,Tenant,UPDATE,john.smith@apexproperty.com,1,Apex Property Group
18,2024-02-01 00:00:00.000,February,2024,Payment,CREATE,mike.brown@urbanliving.com,2,Urban Living Management
19,2024-02-02 00:00:00.000,February,2024,MaintenanceRequest,UPDATE,mike.brown@urbanliving.com,2,Urban Living Management
20,2024-01-05 00:00:00.000,January,2024,Unit,CREATE,robert.wilson@sunrise.com,3,Sunrise Realty Solutions
21,2024-03-01 00:00:00.000,March,2024,Invoice,CREATE,james.anderson@metro.com,4,Metro Housing Corp
22,2024-01-08 00:00:00.000,January,2024,Vendor,UPDATE,jennifer.thomas@greenvalley.com,5,Green Valley Properties
23,2023-07-01 00:00:00.000,July,2023,Property,CREATE,admin@coastal.com,6,Coastal Management LLC
24,2023-01-15 00:00:00.000,January,2023,User,CREATE,admin@mountainview.com,7,Mountain View Estates
25,2023-09-01 00:00:00.000,September,2023,Role,UPDATE,admin@citycenter.com,8,City Center Properties
26,2024-04-01 00:00:00.000,April,2024,Invoice,AUTO_GENERATE,system,1,Apex Property Group
27,2024-04-05 00:00:00.000,April,2024,Payment,RECONCILE,accountant@urbanliving.com,2,Urban Living Management
28,2024-04-18 00:00:00.000,April,2024,MaintenanceRequest,CREATE,manager@sunrise.com,3,Sunrise Realty Solutions
29,2024-03-30 00:00:00.000,March,2024,Lease,RENEW,admin@metro.com,4,Metro Housing Corp
30,2024-04-10 00:00:00.000,April,2024,Message,SEND,support@greenvalley.com,5,Green Valley Properties
31,2024-05-01 00:00:00.000,May,2024,Invoice,AUTO_GENERATE,system,1,Apex Property Group
32,2024-05-03 00:00:00.000,May,2024,Payment,RECONCILE,accountant@urbanliving.com,2,Urban Living Management
33,2024-05-06 00:00:00.000,May,2024,MaintenanceRequest,CREATE,manager@sunrise.com,3,Sunrise Realty Solutions
34,2024-05-10 00:00:00.000,May,2024,Lease,RENEW,admin@metro.com,4,Metro Housing Corp
35,2024-05-12 00:00:00.000,May,2024,Message,SEND,support@greenvalley.com,5,Green Valley Properties
36,2024-06-01 00:00:00.000,June,2024,Invoice,AUTO_GENERATE,system,6,Coastal Management LLC
37,2024-06-05 00:00:00.000,June,2024,User,CREATE,admin@mountainview.com,7,Mountain View Estates
38,2024-06-07 00:00:00.000,June,2024,Role,UPDATE,admin@citycenter.com,8,City Center Properties
